task,system,basis,control,n_hidden,network_seed,converged,accuracy,hidden_unit,best_freq,best_R,best_phase,best_freq_cos,best_R_cos,concentration,null_p,null_mean,null_p95,pitch_height_r,random_r_p95
iran_interval_separate,Iranian-17,dft,none,7,1136854445,False,0.8758,4,9,0.7473,-0.1939,9,0.7331,0.387,0.07196,0.6136,0.7656,0.2247,0.4462
iran_interval_separate,Iranian-17,dft,none,7,1136854445,False,0.8758,5,12,0.9004,3.1416,12,0.9004,0.513,0.0005,0.6023,0.7348,0.07,0.4583
iran_interval_separate,Iranian-17,dft,none,7,1136854445,False,0.8758,6,6,0.9065,2.918,6,0.897,0.7508,0.0005,0.6164,0.7612,0.0064,0.5003
iran_interval_separate,Iranian-17,dft,input_shuffled,7,1136854445,False,0.8954,0,1,0.9775,-1.9486,1,0.4057,0.6654,0.0005,0.616,0.7699,0.8179,0.4657
iran_interval_separate,Iranian-17,dft,input_shuffled,7,1136854445,False,0.8954,1,5,0.8824,0.6255,5,0.7174,0.5168,0.0015,0.6064,0.7571,0.2804,0.4553
iran_interval_separate,Iranian-17,dft,input_shuffled,7,1136854445,False,0.8954,2,12,0.9577,-0.0,12,0.9577,0.5758,0.0005,0.6051,0.7545,0.0151,0.4716
iran_interval_separate,Iranian-17,dft,input_shuffled,7,1136854445,False,0.8954,3,1,0.8259,3.0874,1,0.8247,0.4497,0.01049,0.6125,0.7517,0.0682,0.4724
iran_interval_separate,Iranian-17,dft,input_shuffled,7,1136854445,False,0.8954,4,6,0.918,2.948,6,0.9109,0.7822,0.0005,0.6123,0.7653,0.057,0.4528
iran_interval_separate,Iranian-17,dft,input_shuffled,7,1136854445,False,0.8954,5,8,0.6555,2.3355,8,0.4389,0.2975,0.23838,0.6076,0.7487,0.1206,0.4504
iran_interval_separate,Iranian-17,dft,input_shuffled,7,1136854445,False,0.8954,6,9,0.7227,3.062,9,0.7204,0.3633,0.09545,0.6093,0.7576,0.2312,0.4554
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1136854445,False,0.6405,0,8,0.5654,-0.5459,8,0.4747,0.2261,0.50525,0.574,0.6868,0.102,0.4779
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1136854445,False,0.6405,1,4,0.6897,-1.1746,9,0.4044,0.34,0.12894,0.6025,0.7425,0.1476,0.4781
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1136854445,False,0.6405,2,5,0.6496,-2.8898,5,0.6292,0.286,0.24538,0.6026,0.73,0.0558,0.4819
